dataset,model,condition,correct,n,accuracy,ci_low,ci_high
TruthfulQA,llama3.1:8b,none,430,817,0.5263,0.4920,0.5604
TruthfulQA,llama3.1:8b,control,418,817,0.5116,0.4774,0.5458
TruthfulQA,llama3.1:8b,persona_a,417,817,0.5104,0.4762,0.5446
TruthfulQA,llama3.1:8b,persona_b,454,817,0.5557,0.5214,0.5894
TruthfulQA,llama3.1:8b,persona_c,437,817,0.5349,0.5006,0.5688
TruthfulQA,mistral,none,393,817,0.4810,0.4469,0.5153
TruthfulQA,mistral,control,410,817,0.5018,0.4676,0.5360
TruthfulQA,mistral,persona_a,437,817,0.5349,0.5006,0.5688
TruthfulQA,mistral,persona_b,454,817,0.5557,0.5214,0.5894
TruthfulQA,mistral,persona_c,450,817,0.5508,0.5165,0.5846
TruthfulQA,phi3.5,none,413,817,0.5055,0.4713,0.5397
TruthfulQA,phi3.5,control,415,817,0.5080,0.4737,0.5421
TruthfulQA,phi3.5,persona_a,419,817,0.5129,0.4786,0.5470
TruthfulQA,phi3.5,persona_b,428,817,0.5239,0.4896,0.5579
TruthfulQA,phi3.5,persona_c,430,817,0.5263,0.4920,0.5604
TruthfulQA,qwen2.5:7b,none,510,817,0.6242,0.5905,0.6568
TruthfulQA,qwen2.5:7b,control,503,817,0.6157,0.5818,0.6484
TruthfulQA,qwen2.5:7b,persona_a,495,817,0.6059,0.5719,0.6388
TruthfulQA,qwen2.5:7b,persona_b,525,817,0.6426,0.6091,0.6747
TruthfulQA,qwen2.5:7b,persona_c,505,817,0.6181,0.5843,0.6508
MMLU,llama3.1:8b,none,698,1140,0.6123,0.5837,0.6401
MMLU,llama3.1:8b,control,679,1140,0.5956,0.5669,0.6237
MMLU,llama3.1:8b,persona_a,651,1140,0.5711,0.5421,0.5995
MMLU,llama3.1:8b,persona_b,662,1140,0.5807,0.5518,0.6090
MMLU,llama3.1:8b,persona_c,657,1140,0.5763,0.5474,0.6047
MMLU,mistral,none,659,1140,0.5781,0.5492,0.6064
MMLU,mistral,control,656,1140,0.5754,0.5465,0.6038
MMLU,mistral,persona_a,620,1140,0.5439,0.5148,0.5726
MMLU,mistral,persona_b,605,1140,0.5307,0.5017,0.5595
MMLU,mistral,persona_c,623,1140,0.5465,0.5175,0.5752
MMLU,phi3.5,none,714,1140,0.6263,0.5979,0.6539
MMLU,phi3.5,control,706,1140,0.6193,0.5908,0.6470
MMLU,phi3.5,persona_a,701,1140,0.6149,0.5863,0.6427
MMLU,phi3.5,persona_b,707,1140,0.6202,0.5916,0.6479
MMLU,phi3.5,persona_c,699,1140,0.6132,0.5846,0.6410
MMLU,qwen2.5:7b,none,808,1140,0.7088,0.6817,0.7344
MMLU,qwen2.5:7b,control,812,1140,0.7123,0.6853,0.7378
MMLU,qwen2.5:7b,persona_a,790,1140,0.6930,0.6656,0.7191
MMLU,qwen2.5:7b,persona_b,791,1140,0.6939,0.6665,0.7199
MMLU,qwen2.5:7b,persona_c,798,1140,0.7000,0.6728,0.7259
