dataset,model,persona,flips,n_items,net,flip_to_net_ratio
TruthfulQA,llama3.1:8b,persona_a,123,817,-13,9.46
TruthfulQA,llama3.1:8b,persona_b,134,817,24,5.58
TruthfulQA,llama3.1:8b,persona_c,115,817,7,16.43
TruthfulQA,mistral,persona_a,138,817,44,3.14
TruthfulQA,mistral,persona_b,141,817,61,2.31
TruthfulQA,mistral,persona_c,131,817,57,2.30
TruthfulQA,phi3.5,persona_a,62,817,6,10.33
TruthfulQA,phi3.5,persona_b,65,817,15,4.33
TruthfulQA,phi3.5,persona_c,55,817,17,3.24
TruthfulQA,qwen2.5:7b,persona_a,89,817,-15,5.93
TruthfulQA,qwen2.5:7b,persona_b,85,817,15,5.67
TruthfulQA,qwen2.5:7b,persona_c,73,817,-5,14.60
MMLU,llama3.1:8b,persona_a,167,1140,-47,3.55
MMLU,llama3.1:8b,persona_b,154,1140,-36,4.28
MMLU,llama3.1:8b,persona_c,157,1140,-41,3.83
MMLU,mistral,persona_a,131,1140,-39,3.36
MMLU,mistral,persona_b,132,1140,-54,2.44
MMLU,mistral,persona_c,122,1140,-36,3.39
MMLU,phi3.5,persona_a,69,1140,-13,5.31
MMLU,phi3.5,persona_b,67,1140,-7,9.57
MMLU,phi3.5,persona_c,67,1140,-15,4.47
MMLU,qwen2.5:7b,persona_a,70,1140,-18,3.89
MMLU,qwen2.5:7b,persona_b,69,1140,-17,4.06
MMLU,qwen2.5:7b,persona_c,62,1140,-10,6.20
