dataset,template,model,persona,n,accuracy,ci_low,ci_high
TruthfulQA,t1,llama3.1:8b,persona_d,817,0.5435,0.5092,0.5773
TruthfulQA,t1,llama3.1:8b,persona_e,817,0.5263,0.4920,0.5604
TruthfulQA,t1,mistral,persona_d,817,0.5569,0.5227,0.5906
TruthfulQA,t1,mistral,persona_e,817,0.5569,0.5227,0.5906
TruthfulQA,t1,phi3.5,persona_d,817,0.5092,0.4749,0.5433
TruthfulQA,t1,phi3.5,persona_e,817,0.5141,0.4798,0.5482
TruthfulQA,t1,qwen2.5:7b,persona_d,817,0.6157,0.5818,0.6484
TruthfulQA,t1,qwen2.5:7b,persona_e,817,0.6071,0.5732,0.6400
TruthfulQA,t2,llama3.1:8b,persona_d,817,0.4920,0.4579,0.5263
TruthfulQA,t2,llama3.1:8b,persona_e,817,0.5312,0.4969,0.5652
TruthfulQA,t2,mistral,persona_d,817,0.5361,0.5018,0.5701
TruthfulQA,t2,mistral,persona_e,817,0.5520,0.5178,0.5858
TruthfulQA,t2,phi3.5,persona_d,817,0.5324,0.4982,0.5664
TruthfulQA,t2,phi3.5,persona_e,817,0.5312,0.4969,0.5652
TruthfulQA,t2,qwen2.5:7b,persona_d,817,0.6634,0.6303,0.6950
TruthfulQA,t2,qwen2.5:7b,persona_e,817,0.6585,0.6253,0.6902
TruthfulQA,t3,llama3.1:8b,persona_d,817,0.5116,0.4774,0.5458
TruthfulQA,t3,llama3.1:8b,persona_e,817,0.5214,0.4871,0.5555
TruthfulQA,t3,mistral,persona_d,817,0.4994,0.4652,0.5336
TruthfulQA,t3,mistral,persona_e,817,0.5006,0.4664,0.5348
TruthfulQA,t3,phi3.5,persona_d,817,0.4823,0.4482,0.5165
TruthfulQA,t3,phi3.5,persona_e,817,0.4810,0.4469,0.5153
TruthfulQA,t3,qwen2.5:7b,persona_d,817,0.6524,0.6191,0.6843
TruthfulQA,t3,qwen2.5:7b,persona_e,817,0.6377,0.6042,0.6699
MMLU,t1,llama3.1:8b,persona_d,1140,0.5825,0.5536,0.6108
MMLU,t1,llama3.1:8b,persona_e,1140,0.5860,0.5571,0.6142
MMLU,t1,mistral,persona_d,1140,0.5368,0.5078,0.5656
MMLU,t1,mistral,persona_e,1140,0.5491,0.5201,0.5778
MMLU,t1,phi3.5,persona_d,1140,0.6228,0.5943,0.6505
MMLU,t1,phi3.5,persona_e,1140,0.6175,0.5890,0.6453
MMLU,t1,qwen2.5:7b,persona_d,1140,0.6974,0.6701,0.7233
MMLU,t1,qwen2.5:7b,persona_e,1140,0.6930,0.6656,0.7191
MMLU,t2,llama3.1:8b,persona_d,1140,0.4658,0.4370,0.4948
MMLU,t2,llama3.1:8b,persona_e,1140,0.5202,0.4912,0.5491
MMLU,t2,mistral,persona_d,1140,0.5167,0.4877,0.5456
MMLU,t2,mistral,persona_e,1140,0.5184,0.4894,0.5473
MMLU,t2,phi3.5,persona_d,1140,0.6096,0.5810,0.6376
MMLU,t2,phi3.5,persona_e,1140,0.6053,0.5766,0.6332
MMLU,t2,qwen2.5:7b,persona_d,1140,0.6947,0.6674,0.7208
MMLU,t2,qwen2.5:7b,persona_e,1140,0.6939,0.6665,0.7199
MMLU,t3,llama3.1:8b,persona_d,1140,0.4386,0.4100,0.4676
MMLU,t3,llama3.1:8b,persona_e,1140,0.5105,0.4815,0.5395
MMLU,t3,mistral,persona_d,1140,0.5237,0.4947,0.5525
MMLU,t3,mistral,persona_e,1140,0.5368,0.5078,0.5656
MMLU,t3,phi3.5,persona_d,1140,0.6193,0.5908,0.6470
MMLU,t3,phi3.5,persona_e,1140,0.6219,0.5934,0.6496
MMLU,t3,qwen2.5:7b,persona_d,1140,0.6895,0.6620,0.7157
MMLU,t3,qwen2.5:7b,persona_e,1140,0.6833,0.6558,0.7097
