baseline,model,persona,tqa_delta_pp,tqa_ci_low,tqa_ci_high,mmlu_delta_pp,mmlu_ci_low,mmlu_ci_high,difference_pp,diff_ci_low,diff_ci_high,p_boot,p_bh,significant_bh
none,llama3.1:8b,persona_d,1.71,-0.98,4.41,-2.98,-5.09,-0.88,4.70,1.33,8.12,0.0052,0.0139,significant
none,llama3.1:8b,persona_e,0.00,-2.57,2.57,-2.63,-4.65,-0.61,2.63,-0.59,5.82,0.1068,0.2136,ns
none,mistral,persona_d,7.59,4.77,10.28,-4.12,-6.14,-2.19,11.71,8.35,15.05,0.0001,0.0004,significant
none,mistral,persona_e,7.59,5.02,10.28,-2.89,-4.74,-1.14,10.48,7.23,13.72,0.0001,0.0004,significant
none,phi3.5,persona_d,0.37,-1.47,2.08,-0.35,-1.84,1.14,0.72,-1.68,3.01,0.5548,0.6828,ns
none,phi3.5,persona_e,0.86,-0.98,2.69,-0.88,-2.28,0.53,1.73,-0.56,4.01,0.1478,0.2628,ns
none,qwen2.5:7b,persona_d,-0.86,-3.06,1.35,-1.14,-2.54,0.18,0.28,-2.27,2.89,0.8130,0.8922,ns
none,qwen2.5:7b,persona_e,-1.71,-3.67,0.24,-1.58,-2.98,-0.18,-0.13,-2.60,2.30,0.9192,0.9192,ns
control,llama3.1:8b,persona_d,3.18,0.61,5.75,-1.32,-3.16,0.44,4.50,1.39,7.67,0.0036,0.0115,significant
control,llama3.1:8b,persona_e,1.47,-0.98,3.92,-0.96,-2.63,0.70,2.43,-0.45,5.42,0.1006,0.2136,ns
control,mistral,persona_d,5.51,2.82,8.08,-3.86,-5.70,-1.93,9.37,6.06,12.63,0.0001,0.0004,significant
control,mistral,persona_e,5.51,2.94,8.08,-2.63,-4.39,-0.88,8.14,4.97,11.27,0.0001,0.0004,significant
control,phi3.5,persona_d,0.12,-1.71,1.96,0.35,-0.96,1.75,-0.23,-2.57,1.98,0.8364,0.8922,ns
control,phi3.5,persona_e,0.61,-1.10,2.33,-0.18,-1.49,1.14,0.79,-1.42,2.93,0.4926,0.6568,ns
control,qwen2.5:7b,persona_d,0.00,-2.08,2.08,-1.49,-2.89,-0.18,1.49,-1.01,4.00,0.2370,0.3792,ns
control,qwen2.5:7b,persona_e,-0.86,-2.82,1.10,-1.93,-3.16,-0.70,1.07,-1.26,3.40,0.3638,0.5292,ns
