baseline,model,persona,tqa_delta_pp,tqa_ci_low,tqa_ci_high,mmlu_delta_pp,mmlu_ci_low,mmlu_ci_high,difference_pp,diff_ci_low,diff_ci_high,p_boot,p_bh,significant_bh
none,llama3.1:8b,persona_a,-1.59,-4.16,1.10,-4.12,-6.32,-1.93,2.53,-0.90,6.00,0.1558,0.2141,ns
none,llama3.1:8b,persona_b,2.94,0.24,5.75,-3.16,-5.35,-1.05,6.10,2.58,9.68,0.0006,0.0018,significant
none,llama3.1:8b,persona_c,0.86,-1.71,3.43,-3.60,-5.70,-1.49,4.45,1.11,7.87,0.0056,0.0116,significant
none,mistral,persona_a,5.39,2.57,8.20,-3.42,-5.35,-1.40,8.81,5.31,12.19,0.0001,0.0004,significant
none,mistral,persona_b,7.47,4.65,10.28,-4.74,-6.67,-2.81,12.20,8.77,15.55,0.0001,0.0004,significant
none,mistral,persona_c,6.98,4.28,9.67,-3.16,-5.18,-1.23,10.13,6.77,13.40,0.0001,0.0004,significant
none,phi3.5,persona_a,0.73,-1.10,2.57,-1.14,-2.54,0.26,1.87,-0.52,4.22,0.1220,0.1830,ns
none,phi3.5,persona_b,1.84,-0.12,3.79,-0.61,-2.02,0.79,2.45,0.05,4.83,0.0478,0.0765,ns
none,phi3.5,persona_c,2.08,0.24,3.92,-1.32,-2.72,0.09,3.40,1.14,5.66,0.0038,0.0091,significant
none,qwen2.5:7b,persona_a,-1.84,-4.16,0.37,-1.58,-2.98,-0.18,-0.26,-2.94,2.38,0.8506,0.8506,ns
none,qwen2.5:7b,persona_b,1.84,-0.37,4.04,-1.49,-2.89,-0.09,3.33,0.67,5.99,0.0122,0.0225,significant
none,qwen2.5:7b,persona_c,-0.61,-2.69,1.35,-0.88,-2.28,0.53,0.27,-2.17,2.75,0.8280,0.8506,ns
control,llama3.1:8b,persona_a,-0.12,-2.69,2.57,-2.46,-4.47,-0.53,2.33,-0.87,5.66,0.1606,0.2141,ns
control,llama3.1:8b,persona_b,4.41,1.71,7.10,-1.49,-3.33,0.26,5.90,2.73,9.22,0.0001,0.0004,significant
control,llama3.1:8b,persona_c,2.33,-0.12,4.78,-1.93,-3.77,-0.18,4.26,1.30,7.39,0.0058,0.0116,significant
control,mistral,persona_a,3.30,0.61,6.00,-3.16,-5.00,-1.23,6.46,3.09,9.68,0.0004,0.0014,significant
control,mistral,persona_b,5.39,2.69,8.08,-4.47,-6.32,-2.63,9.86,6.59,13.15,0.0001,0.0004,significant
control,mistral,persona_c,4.90,2.33,7.47,-2.89,-4.74,-1.05,7.79,4.56,10.87,0.0001,0.0004,significant
control,phi3.5,persona_a,0.49,-1.35,2.33,-0.44,-1.84,0.96,0.93,-1.38,3.26,0.4354,0.4933,ns
control,phi3.5,persona_b,1.59,-0.37,3.55,0.09,-1.32,1.49,1.50,-0.91,3.94,0.2174,0.2609,ns
control,phi3.5,persona_c,1.84,0.12,3.55,-0.61,-1.93,0.70,2.45,0.24,4.65,0.0292,0.0501,ns
control,qwen2.5:7b,persona_a,-0.98,-3.18,1.10,-1.93,-3.25,-0.61,0.95,-1.59,3.44,0.4522,0.4933,ns
control,qwen2.5:7b,persona_b,2.69,0.49,4.90,-1.84,-3.16,-0.53,4.53,1.96,7.11,0.0010,0.0027,significant
control,qwen2.5:7b,persona_c,0.24,-1.84,2.33,-1.23,-2.46,-0.09,1.47,-0.87,3.77,0.2158,0.2609,ns
