baseline,model,persona,tqa_delta_pp,mmlu_delta_pp,difference_pp
none,llama3.1:8b,persona_a,-1.59,-4.12,2.53
none,llama3.1:8b,persona_b,2.94,-3.16,6.10
none,llama3.1:8b,persona_c,0.86,-3.60,4.45
none,mistral,persona_a,5.39,-3.42,8.81
none,mistral,persona_b,7.47,-4.74,12.20
none,mistral,persona_c,6.98,-3.16,10.13
none,phi3.5,persona_a,0.73,-1.14,1.87
none,phi3.5,persona_b,1.84,-0.61,2.45
none,phi3.5,persona_c,2.08,-1.32,3.40
none,qwen2.5:7b,persona_a,-1.84,-1.58,-0.26
none,qwen2.5:7b,persona_b,1.84,-1.49,3.33
none,qwen2.5:7b,persona_c,-0.61,-0.88,0.27
control,llama3.1:8b,persona_a,-0.12,-2.46,2.33
control,llama3.1:8b,persona_b,4.41,-1.49,5.90
control,llama3.1:8b,persona_c,2.33,-1.93,4.26
control,mistral,persona_a,3.30,-3.16,6.46
control,mistral,persona_b,5.39,-4.47,9.86
control,mistral,persona_c,4.90,-2.89,7.79
control,phi3.5,persona_a,0.49,-0.44,0.93
control,phi3.5,persona_b,1.59,0.09,1.50
control,phi3.5,persona_c,1.84,-0.61,2.45
control,qwen2.5:7b,persona_a,-0.98,-1.93,0.95
control,qwen2.5:7b,persona_b,2.69,-1.84,4.53
control,qwen2.5:7b,persona_c,0.24,-1.23,1.47
